review_id,subject_drug_name,affected_drug_name,severity_label,risk_level,evidence_level,statin_guardrail_applied,summary,management,evidence_definition,patient_friendly_guidance,baseline_text_source,fkgl_baseline,fkgl_simplified,fkgl_delta,fre_baseline,fre_simplified,fre_delta,reviewer_clinically_accurate,reviewer_grade6_readable,reviewer_notes
11,Amlodipine,Simvastatin,moderate,"adjustment should be considered, consult your physician/GP",1,True,The serum concentration of Simvastatin can be increased when it is combined with Amlodipine.,"Avoid coadministration of amlodipine and simvastatin if possible. If used together, limit simvastatin doses to 20mg per day and monitor patients closely for the development of dose-related statin side effects such as myopathy, rhabdomyolysis, increased creatine phosphokinase (CPK), and acute kidney injury. Consider switching patients to non-CYP3A4 metabolized statins such as pravastatin, fluvastatin, or rosuvastatin as they are unlikely to be involved in this interaction.","Mentioned in the drug monograph (FDA, Health Canada, EMA, etc.) and has been confirmed in clinical studies (cohort, case-control, case study etc.).","Patient Guidance: Clinical adjustment should be considered. Consult your GP or Physician for adjustment. The statins should be taken at night. Clinical Validity: Mentioned in the drug monograph (FDA, Health Canada, EMA, etc.) and has been confirmed in clinical studies (cohort, case-control, case study etc.).",extended_description,16.9,10.2,-6.7,18.5,37.9,19.4,,,
12,Beclomethasone dipropionate,Atorvastatin,moderate,"adjustment should be considered, consult your physician/GP",2,True,The metabolism of Atorvastatin can be increased when combined with Beclomethasone dipropionate.,"Avoid this combination when possible. When this combination is clinically necessary, monitor the serum concentration or efficacy of the affected drug. Dose adjustments may be required.[L46461] Refer to each product label for specific recommendations.","Has been confirmed in at least 1 cohort, case-control, or case study and may or may not be mentioned in a drug monograph.","Patient Guidance: Clinical adjustment should be considered. Consult your GP or Physician for adjustment. The statins should be taken at night. Clinical Validity: Has been confirmed in at least 1 cohort, case-control, or case study and may or may not be mentioned in a drug monograph.",extended_description,13.4,7.9,-5.5,36.5,59.1,22.6,,,
13,Beclomethasone dipropionate,Empagliflozin,moderate,"adjustment should be considered, consult your physician/GP",1,False,The risk or severity of hyperglycemia can be increased when Beclomethasone dipropionate is combined with Empagliflozin.,"Adjust the dose of blood glucose lowering agents to obtain glycemic control.[A187493,L9449]","Mentioned in the drug monograph (FDA, Health Canada, EMA, etc.) and has been confirmed in clinical studies (cohort, case-control, case study etc.).","Patient Guidance: Clinical adjustment should be considered. Consult your GP or Physician for adjustment. Clinical Validity: Mentioned in the drug monograph (FDA, Health Canada, EMA, etc.) and has been confirmed in clinical studies (cohort, case-control, case study etc.).",extended_description,13.6,11.7,-1.9,20.3,28.0,7.7,,,
14,Citalopram,Atorvastatin,moderate,"adjustment should be considered, consult your physician/GP",1,True,The metabolism of Atorvastatin can be decreased when combined with Citalopram.,Limit atorvastatin dosage to 20 mg daily when taken with strong CYP3A4 inhibitors like boceprevir due to increased atorvastatin plasma concentration [FDA label].,"Mentioned in the drug monograph (FDA, Health Canada, EMA, etc.) and has been confirmed in clinical studies (cohort, case-control, case study etc.).","Patient Guidance: Clinical adjustment should be considered. Consult your GP or Physician for adjustment. The statins should be taken at night. Clinical Validity: Mentioned in the drug monograph (FDA, Health Canada, EMA, etc.) and has been confirmed in clinical studies (cohort, case-control, case study etc.).",extended_description,20.5,10.2,-10.3,-0.6,37.9,38.5,,,
15,Ibuprofen,Furosemide,moderate,"adjustment should be considered, consult your physician/GP",1,False,The therapeutic efficacy of Furosemide can be decreased when used in combination with Ibuprofen.,Monitor for decreased therapeutic effects of loop diuretics with concurrent use of an NSAID. Consider avoiding concomitant use of these agents in CHF or cirrhosis with ascites.,"Mentioned in the drug monograph (FDA, Health Canada, EMA, etc.) and has been confirmed in clinical studies (cohort, case-control, case study etc.).","Patient Guidance: Clinical adjustment should be considered. Consult your GP or Physician for adjustment. Clinical Validity: Mentioned in the drug monograph (FDA, Health Canada, EMA, etc.) and has been confirmed in clinical studies (cohort, case-control, case study etc.).",extended_description,9.1,11.7,2.6,52.0,28.0,-24.0,,,
16,Naproxen,Furosemide,moderate,"adjustment should be considered, consult your physician/GP",1,False,The therapeutic efficacy of Furosemide can be decreased when used in combination with Naproxen.,Monitor for decreased therapeutic effects of loop diuretics with concurrent use of an NSAID. Consider avoiding concomitant use of these agents in CHF or cirrhosis with ascites.,"Mentioned in the drug monograph (FDA, Health Canada, EMA, etc.) and has been confirmed in clinical studies (cohort, case-control, case study etc.).","Patient Guidance: Clinical adjustment should be considered. Consult your GP or Physician for adjustment. Clinical Validity: Mentioned in the drug monograph (FDA, Health Canada, EMA, etc.) and has been confirmed in clinical studies (cohort, case-control, case study etc.).",extended_description,9.1,11.7,2.6,52.0,28.0,-24.0,,,
17,Naproxen,Quetiapine,moderate,"adjustment should be considered, consult your physician/GP",2,False,The risk or severity of liver damage can be increased when Naproxen is combined with Quetiapine.,"Prioritize non-hepatotoxic alternatives where clinically feasible. If concurrent use is unavoidable, consult prescribing information for the subject drugs to determine strategies for mitigation and monitoring (e.g. baseline and periodic liver function testing).","Has been confirmed in at least 1 cohort, case-control, or case study and may or may not be mentioned in a drug monograph.","Patient Guidance: Clinical adjustment should be considered. Consult your GP or Physician for adjustment. Clinical Validity: Has been confirmed in at least 1 cohort, case-control, or case study and may or may not be mentioned in a drug monograph.",extended_description,22.1,9.1,-13.0,-22.5,52.6,75.1,,,
18,Simvastatin,Ibuprofen,moderate,"adjustment should be considered, consult your physician/GP",2,True,The metabolism of Ibuprofen can be decreased when combined with Simvastatin.,"The inhibition of the CYP2C8 mediated metabolism of a CYP2C8 substrate administered concurrently with a CYP2C8 inhibitor of unknown strength may or may not be so great that the resultant increase in the substrate's serum concentration and/or risk, incidence, or severity of adverse effects may be significant enough to have the interaction considered a contraindication. Laboratory monitoring of the serum concentrations of the agents involved and observation of signs and symptoms of adverse effects and/or toxicity in patients is essential to determining how the CYP2C8 inhibitor's unknown potency may be managed. The use of two such agents together is generally cautioned against and the use of alternative, non-interacting therapeutic agents is strongly recommended. Only if the combination therapy is absolutely required and appropriate, dosage adjustments of one or both agents based upon the monitoring of patients' clinical response to the therapy should be made as necessary. Consult the manufacturer labeling specific to individual medications for detailed information about their appropriate use.","Has been confirmed in at least 1 cohort, case-control, or case study and may or may not be mentioned in a drug monograph.","Patient Guidance: Clinical adjustment should be considered. Consult your GP or Physician for adjustment. The statins should be taken at night. Clinical Validity: Has been confirmed in at least 1 cohort, case-control, or case study and may or may not be mentioned in a drug monograph.",extended_description,18.1,7.9,-10.2,13.4,59.1,45.7,,,
19,Albuterol,Liraglutide,minor,observe and adjust,2,False,The therapeutic efficacy of Liraglutide can be decreased when used in combination with Albuterol.,"If concomitant administration of albuterol and blood glucose lowering agents is warranted, carefully monitor the efficacy of the blood glucose lowering agent(s).","Has been confirmed in at least 1 cohort, case-control, or case study and may or may not be mentioned in a drug monograph.","Patient Guidance: One of the medications should be spaced from the other. Please observe and adjust. Clinical Validity: Has been confirmed in at least 1 cohort, case-control, or case study and may or may not be mentioned in a drug monograph.",extended_description,13.7,7.6,-6.1,20.8,65.0,44.2,,,
20,Atorvastatin,Warfarin,minor,observe and adjust,1,True,The metabolism of Warfarin can be decreased when combined with Atorvastatin.,"Concomitant use of atorvastatin and vitamin K antagonists/coumarin anticoagulants should be undertaken with caution. A close monitoring of INR and with adjustment of the anticoagulant dose may be necessary [A34264, L3336].","Mentioned in the drug monograph (FDA, Health Canada, EMA, etc.) and has been confirmed in clinical studies (cohort, case-control, case study etc.).","Patient Guidance: One of the medications should be spaced from the other. Please observe and adjust. The statins should be taken at night. Clinical Validity: Mentioned in the drug monograph (FDA, Health Canada, EMA, etc.) and has been confirmed in clinical studies (cohort, case-control, case study etc.).",extended_description,15.9,8.7,-7.2,23.9,49.7,25.8,,,
21,Dextromethorphan,Rosuvastatin,minor,observe and adjust,2,True,The metabolism of Rosuvastatin can be decreased when combined with Dextromethorphan.,"If alternative agents are unavailable and these agents must be administered concomitantly, the patient should be monitored closely for adverse effects related to either drug. Dose adjustments or discontinuation of either the subject or affected drug may be necessary based on patient response.","Has been confirmed in at least 1 cohort, case-control, or case study and may or may not be mentioned in a drug monograph.","Patient Guidance: One of the medications should be spaced from the other. Please observe and adjust. The statins should be taken at night. Clinical Validity: Has been confirmed in at least 1 cohort, case-control, or case study and may or may not be mentioned in a drug monograph.",extended_description,13.8,6.5,-7.3,29.3,69.5,40.3,,,
22,Fluoxetine,Olanzapine,minor,observe and adjust,1,False,The serum concentration of Olanzapine can be increased when it is combined with Fluoxetine.,"Despite the pharmacokinetic interaction between fluoxetine and olanzapine, dose adjustments of olanzapine are generally not necessary during concurrent administration.[A203372,L7664] The measured increase in serum concentration is minor compared to inter-individual variability and is unlikely to result in olanzapine toxicity; fixed dose combinations have a favourable safety profile.[A203372,L33439,L7664]","Mentioned in the drug monograph (FDA, Health Canada, EMA, etc.) and has been confirmed in clinical studies (cohort, case-control, case study etc.).","Patient Guidance: One of the medications should be spaced from the other. Please observe and adjust. Clinical Validity: Mentioned in the drug monograph (FDA, Health Canada, EMA, etc.) and has been confirmed in clinical studies (cohort, case-control, case study etc.).",extended_description,14.6,9.8,-4.8,22.9,42.3,19.4,,,
23,Folic acid,Pregabalin,minor,observe and adjust,2,False,Folic acid may decrease the excretion rate of Pregabalin which could result in a higher serum level.,Refer to individual drug prescribing information for dosing or management guidelines. Caution is generally advised.,"Has been confirmed in at least 1 cohort, case-control, or case study and may or may not be mentioned in a drug monograph.","Patient Guidance: One of the medications should be spaced from the other. Please observe and adjust. Clinical Validity: Has been confirmed in at least 1 cohort, case-control, or case study and may or may not be mentioned in a drug monograph.",extended_description,18.9,7.6,-11.3,9.4,65.0,55.6,,,
24,Furosemide,Metformin,minor,observe and adjust,1,False,The therapeutic efficacy of Metformin can be decreased when used in combination with Furosemide.,"When agents associated with hyperglycemia are administered to a patient receiving metformin, observe the patient closely for loss of blood glucose control. When such drugs are withdrawn from a patient receiving metformin, observe the patient closely for hypoglycemia. Adjust the dose of either drug as necessary or discontinue either drug, if needed.[L12207]","Mentioned in the drug monograph (FDA, Health Canada, EMA, etc.) and has been confirmed in clinical studies (cohort, case-control, case study etc.).","Patient Guidance: One of the medications should be spaced from the other. Please observe and adjust. Clinical Validity: Mentioned in the drug monograph (FDA, Health Canada, EMA, etc.) and has been confirmed in clinical studies (cohort, case-control, case study etc.).",extended_description,10.4,9.8,-0.6,47.8,42.3,-5.5,,,
25,Metformin,Atorvastatin,minor,observe and adjust,2,True,Metformin may increase the hypolipidaemic activities of Atorvastatin.,"Patients with Type 2 diabetes mellitus frequently take metformin and statin combination therapy for the appropriate management and/or control of blood sugar levels and associated cardiovascular disease risk [A39656]. Despite this interaction not being overly demonstrable in diabetic human patients taking such combination therapy [L4720, A39656], the concomitant use of metformin and statins in diabetic patients still necessitates the regular review and monitoring of patients' specific blood sugar control and lipid profiles as a means of assessing the continued effectiveness of the combined therapy.","Has been confirmed in at least 1 cohort, case-control, or case study and may or may not be mentioned in a drug monograph.","Patient Guidance: One of the medications should be spaced from the other. Please observe and adjust. The statins should be taken at night. Clinical Validity: Has been confirmed in at least 1 cohort, case-control, or case study and may or may not be mentioned in a drug monograph.",extended_description,29.9,6.5,-23.4,-29.5,69.5,99.1,,,
26,Metformin,Simvastatin,minor,observe and adjust,2,True,Metformin may increase the hypolipidaemic activities of Simvastatin.,"Patients with Type 2 diabetes mellitus frequently take metformin and statin combination therapy for the appropriate management and/or control of blood sugar levels and associated cardiovascular disease risk [A39656]. Despite this interaction not being overly demonstrable in diabetic human patients taking such combination therapy [L4720, A39656], the concomitant use of metformin and statins in diabetic patients still necessitates the regular review and monitoring of patients' specific blood sugar control and lipid profiles as a means of assessing the continued effectiveness of the combined therapy.","Has been confirmed in at least 1 cohort, case-control, or case study and may or may not be mentioned in a drug monograph.","Patient Guidance: One of the medications should be spaced from the other. Please observe and adjust. The statins should be taken at night. Clinical Validity: Has been confirmed in at least 1 cohort, case-control, or case study and may or may not be mentioned in a drug monograph.",extended_description,29.9,6.5,-23.4,-29.5,69.5,99.1,,,
27,Rosuvastatin,Methotrexate,minor,observe and adjust,1,True,The protein binding of Methotrexate can be increased when combined with Rosuvastatin.,"If coadministration cannot be avoided, monitor closely for methotrexate adverse reactions when coadministered with a sulfonamide drug.[L51753]","Mentioned in the drug monograph (FDA, Health Canada, EMA, etc.) and has been confirmed in clinical studies (cohort, case-control, case study etc.).","Patient Guidance: One of the medications should be spaced from the other. Please observe and adjust. The statins should be taken at night. Clinical Validity: Mentioned in the drug monograph (FDA, Health Canada, EMA, etc.) and has been confirmed in clinical studies (cohort, case-control, case study etc.).",extended_description,15.6,8.7,-6.9,25.5,49.7,24.2,,,
