subject_drug_drugbank_id,subject_drug_name,affected_drug_drugbank_id,affected_drug_name,summary,extended_description,severity,evidence_level,management
DB00501,Cimetidine,DB00301,Flucloxacillin,Cimetidine may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.,"It is generally accepted that the bile salt export pump (BSEP/ABCB11) mainly transports bile acids and plays an indispensable role in their biliary excretion.[A36983,A36990] Therefore, the coadministration of a bile salt export pump (BSEP/ABCB11) inhibitor with a bile salt export pump substrate will produce a decreased excretion rate followed by an increase in serum concentration of the substrate.",1,2,Monitor the patient's response if these agents must be coadministered.
DB00501,Cimetidine,DB00698,Nitrofurantoin,Cimetidine may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.,"It is generally accepted that the bile salt export pump (BSEP/ABCB11) mainly transports bile acids and plays an indispensable role in their biliary excretion.[A36983,A36990] Therefore, the coadministration of a bile salt export pump (BSEP/ABCB11) inhibitor with a bile salt export pump substrate will produce a decreased excretion rate followed by an increase in serum concentration of the substrate.",1,2,Monitor the patient's response if these agents must be coadministered.
DB00501,Cimetidine,DB00788,Naproxen,Cimetidine may decrease the excretion rate of Naproxen which could result in a higher serum level.,"It is generally accepted that the bile salt export pump (BSEP/ABCB11) mainly transports bile acids and plays an indispensable role in their biliary excretion.[A36983,A36990] Therefore, the coadministration of a bile salt export pump (BSEP/ABCB11) inhibitor with a bile salt export pump substrate will produce a decreased excretion rate followed by an increase in serum concentration of the substrate.",1,2,Monitor the patient's response if these agents must be coadministered.
DB00501,Cimetidine,DB01098,Rosuvastatin,Cimetidine may decrease the excretion rate of Rosuvastatin which could result in a higher serum level.,"It is generally accepted that the bile salt export pump (BSEP/ABCB11) mainly transports bile acids and plays an indispensable role in their biliary excretion.[A36983,A36990] Therefore, the coadministration of a bile salt export pump (BSEP/ABCB11) inhibitor with a bile salt export pump substrate will produce a decreased excretion rate followed by an increase in serum concentration of the substrate.",1,2,Monitor the patient's response if these agents must be coadministered.
DB00501,Cimetidine,DB01211,Clarithromycin,Cimetidine may decrease the excretion rate of Clarithromycin which could result in a higher serum level.,"It is generally accepted that the bile salt export pump (BSEP/ABCB11) mainly transports bile acids and plays an indispensable role in their biliary excretion.[A36983,A36990] Therefore, the coadministration of a bile salt export pump (BSEP/ABCB11) inhibitor with a bile salt export pump substrate will produce a decreased excretion rate followed by an increase in serum concentration of the substrate.",1,2,Monitor the patient's response if these agents must be coadministered.
DB00501,Cimetidine,DB00455,Loratadine,Cimetidine may decrease the excretion rate of Loratadine which could result in a higher serum level.,"It is generally accepted that the bile salt export pump (BSEP/ABCB11) mainly transports bile acids and plays an indispensable role in their biliary excretion.[A36983,A36990] Therefore, the coadministration of a bile salt export pump (BSEP/ABCB11) inhibitor with a bile salt export pump substrate will produce a decreased excretion rate followed by an increase in serum concentration of the substrate.",1,2,Monitor the patient's response if these agents must be coadministered.
DB00448,Lansoprazole,DB00215,Citalopram,The serum concentration of Citalopram can be increased when it is combined with Lansoprazole.,"Citalopram is a substrate of CYP2C19 hepatic enzyme, therefore, inhibiting this enzyme may lead to increased exposure and toxicity of citalopram.",1,1,"According to the FDA limit citalopram dose to a maximum of 20 mg/day if used with a CYP2C19 inhibitor [F1528]. Patients using this combination should be monitored closely for evidence of citalopram toxicity (e.g., serotonin syndrome, QT prolongation, etc.)."
DB00472,Fluoxetine,DB00215,Citalopram,The serum concentration of Citalopram can be increased when it is combined with Fluoxetine.,"Citalopram is a substrate of CYP2C19 hepatic enzyme, therefore, inhibiting this enzyme may lead to increased exposure and toxicity of citalopram.",1,1,"According to the FDA limit citalopram dose to a maximum of 20 mg/day if used with a CYP2C19 inhibitor [F1528]. Patients using this combination should be monitored closely for evidence of citalopram toxicity (e.g., serotonin syndrome, QT prolongation, etc.)."
DB00440,Trimethoprim,DB00678,Losartan,The risk or severity of hyperkalemia can be increased when Trimethoprim is combined with Losartan.,"Reports have been made that the co-administration of trimethoprim with angiotensin receptor antagonists causes hyperkalemia.[A33886, A33887,L11329] This interaction is increased when trimethoprim is administered by the intravenous route. It is thought that this interaction results from potassium-sparing effects that trimethoprim exerts on the distal nephron. Angiotensin receptor antagonists are also known to increase potassium levels[A33859], which enhances the hyperkalemia associated with trimethoprim.",1,1,"Closely monitor serum potassium levels when this combination is administered. Discontinue trimethoprim-sulfamethoxazole as needed to normalize potassium levels.[L11329] Hyperkalemia may be more pronounced in those at higher risk of hyperkalemia, including elderly patients, those with disorders of potassium metabolism, and patients with renal dysfunction. In these cases, consider alternative antibiotic therapy.[L8857]"
DB00852,Pseudoephedrine,DB00178,Ramipril,Pseudoephedrine may decrease the antihypertensive activities of Ramipril.,"The subject drug is known to produce hypertension, this effect can be achieved by different mechanisms. As a consequence, if this agent is used in combination with antihypertensive agents, there could be a decrease in the antihypertensive effects of the antihypertensive agents.",0,2,"If patients are using this combination therapy, it would be helpful to continue monitoring their blood pressure before and during the use of the medications."
DB00852,Pseudoephedrine,DB00381,Amlodipine,Pseudoephedrine may decrease the antihypertensive activities of Amlodipine.,"The subject drug is known to produce hypertension, this effect can be achieved by different mechanisms. As a consequence, if this agent is used in combination with antihypertensive agents, there could be a decrease in the antihypertensive effects of the antihypertensive agents.",0,2,"If patients are using this combination therapy, it would be helpful to continue monitoring their blood pressure before and during the use of the medications."
DB00852,Pseudoephedrine,DB00436,Bendroflumethiazide,Pseudoephedrine may decrease the antihypertensive activities of Bendroflumethiazide.,"The subject drug is known to produce hypertension, this effect can be achieved by different mechanisms. As a consequence, if this agent is used in combination with antihypertensive agents, there could be a decrease in the antihypertensive effects of the antihypertensive agents.",0,2,"If patients are using this combination therapy, it would be helpful to continue monitoring their blood pressure before and during the use of the medications."
DB00852,Pseudoephedrine,DB00678,Losartan,Pseudoephedrine may decrease the antihypertensive activities of Losartan.,"The subject drug is known to produce hypertension, this effect can be achieved by different mechanisms. As a consequence, if this agent is used in combination with antihypertensive agents, there could be a decrease in the antihypertensive effects of the antihypertensive agents.",0,2,"If patients are using this combination therapy, it would be helpful to continue monitoring their blood pressure before and during the use of the medications."
DB00852,Pseudoephedrine,DB00722,Lisinopril,Pseudoephedrine may decrease the antihypertensive activities of Lisinopril.,"The subject drug is known to produce hypertension, this effect can be achieved by different mechanisms. As a consequence, if this agent is used in combination with antihypertensive agents, there could be a decrease in the antihypertensive effects of the antihypertensive agents.",0,2,"If patients are using this combination therapy, it would be helpful to continue monitoring their blood pressure before and during the use of the medications."
DB01001,Albuterol,DB00178,Ramipril,Salbutamol may decrease the antihypertensive activities of Ramipril.,"The subject drug is known to produce hypertension, this effect can be achieved by different mechanisms. As a consequence, if this agent is used in combination with antihypertensive agents, there could be a decrease in the antihypertensive effects of the antihypertensive agents.",0,2,"If patients are using this combination therapy, it would be helpful to continue monitoring their blood pressure before and during the use of the medications."
DB01001,Albuterol,DB00722,Lisinopril,Salbutamol may decrease the antihypertensive activities of Lisinopril.,"The subject drug is known to produce hypertension, this effect can be achieved by different mechanisms. As a consequence, if this agent is used in combination with antihypertensive agents, there could be a decrease in the antihypertensive effects of the antihypertensive agents.",0,2,"If patients are using this combination therapy, it would be helpful to continue monitoring their blood pressure before and during the use of the medications."
DB00852,Pseudoephedrine,DB00695,Furosemide,Pseudoephedrine may decrease the antihypertensive activities of Furosemide.,"The subject drug is known to produce hypertension, this effect can be achieved by different mechanisms. As a consequence, if this agent is used in combination with antihypertensive agents, there could be a decrease in the antihypertensive effects of the antihypertensive agents.",0,2,"If patients are using this combination therapy, it would be helpful to continue monitoring their blood pressure before and during the use of the medications."
DB01001,Albuterol,DB00678,Losartan,Salbutamol may decrease the antihypertensive activities of Losartan.,"The subject drug is known to produce hypertension, this effect can be achieved by different mechanisms. As a consequence, if this agent is used in combination with antihypertensive agents, there could be a decrease in the antihypertensive effects of the antihypertensive agents.",0,2,"If patients are using this combination therapy, it would be helpful to continue monitoring their blood pressure before and during the use of the medications."
DB01001,Albuterol,DB00381,Amlodipine,Salbutamol may decrease the antihypertensive activities of Amlodipine.,"The subject drug is known to produce hypertension, this effect can be achieved by different mechanisms. As a consequence, if this agent is used in combination with antihypertensive agents, there could be a decrease in the antihypertensive effects of the antihypertensive agents.",0,2,"If patients are using this combination therapy, it would be helpful to continue monitoring their blood pressure before and during the use of the medications."
DB06292,Dapagliflozin,DB00178,Ramipril,"The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Dapagliflozin is combined with Ramipril.","SGLT-2 inhibitors, such as canagliflozin, can affect serum electrolytes, sometimes leading to conditions such as hyperkalemia.[A179716] ACE inhibitors may also cause increased serum potassium levels, potentiating this effect. Therefore, the co-administration of these agents may increase the risk of hyperkalemia.[A33859] Additionally, co-administration of SGLT-2 inhibitors with ACE inhibitors may increase the risk of hypotension. SGLT-2 inhibitors can reduce blood pressure by various mechanisms, including increasing urine output.[A179719,L11332] A frequent adverse effect of ACE inhibitor therapy is also hypotension. ACE inhibitor treatment is also associated with functional impairment of the kidneys as a common adverse effect.[A179722] This drug interaction is especially hazardous in those with impaired renal function.[L11332] Though research studies have proposed that combining SGLT-2 inhibitor treatment with ACE inhibitor treatment may provide renal protection in patients with end-stage renal disease [A179713], this drug interaction remains a possibility.[L11332]",1,1,"Regularly monitor blood pressure, electrolytes, fluid balance, and potassium levels in patients taking this combination.[L11332] Adjust the dose of either drug, or discontinue either drug as necessary."
DB06292,Dapagliflozin,DB00722,Lisinopril,"The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Dapagliflozin is combined with Lisinopril.","SGLT-2 inhibitors, such as canagliflozin, can affect serum electrolytes, sometimes leading to conditions such as hyperkalemia.[A179716] ACE inhibitors may also cause increased serum potassium levels, potentiating this effect. Therefore, the co-administration of these agents may increase the risk of hyperkalemia.[A33859] Additionally, co-administration of SGLT-2 inhibitors with ACE inhibitors may increase the risk of hypotension. SGLT-2 inhibitors can reduce blood pressure by various mechanisms, including increasing urine output.[A179719,L11332] A frequent adverse effect of ACE inhibitor therapy is also hypotension. ACE inhibitor treatment is also associated with functional impairment of the kidneys as a common adverse effect.[A179722] This drug interaction is especially hazardous in those with impaired renal function.[L11332] Though research studies have proposed that combining SGLT-2 inhibitor treatment with ACE inhibitor treatment may provide renal protection in patients with end-stage renal disease [A179713], this drug interaction remains a possibility.[L11332]",1,1,"Regularly monitor blood pressure, electrolytes, fluid balance, and potassium levels in patients taking this combination.[L11332] Adjust the dose of either drug, or discontinue either drug as necessary."
DB09038,Empagliflozin,DB00178,Ramipril,"The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Empagliflozin is combined with Ramipril.","SGLT-2 inhibitors, such as canagliflozin, can affect serum electrolytes, sometimes leading to conditions such as hyperkalemia.[A179716] ACE inhibitors may also cause increased serum potassium levels, potentiating this effect. Therefore, the co-administration of these agents may increase the risk of hyperkalemia.[A33859] Additionally, co-administration of SGLT-2 inhibitors with ACE inhibitors may increase the risk of hypotension. SGLT-2 inhibitors can reduce blood pressure by various mechanisms, including increasing urine output.[A179719,L11332] A frequent adverse effect of ACE inhibitor therapy is also hypotension. ACE inhibitor treatment is also associated with functional impairment of the kidneys as a common adverse effect.[A179722] This drug interaction is especially hazardous in those with impaired renal function.[L11332] Though research studies have proposed that combining SGLT-2 inhibitor treatment with ACE inhibitor treatment may provide renal protection in patients with end-stage renal disease [A179713], this drug interaction remains a possibility.[L11332]",1,1,"Regularly monitor blood pressure, electrolytes, fluid balance, and potassium levels in patients taking this combination.[L11332] Adjust the dose of either drug, or discontinue either drug as necessary."
DB09038,Empagliflozin,DB00722,Lisinopril,"The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Empagliflozin is combined with Lisinopril.","SGLT-2 inhibitors, such as canagliflozin, can affect serum electrolytes, sometimes leading to conditions such as hyperkalemia.[A179716] ACE inhibitors may also cause increased serum potassium levels, potentiating this effect. Therefore, the co-administration of these agents may increase the risk of hyperkalemia.[A33859] Additionally, co-administration of SGLT-2 inhibitors with ACE inhibitors may increase the risk of hypotension. SGLT-2 inhibitors can reduce blood pressure by various mechanisms, including increasing urine output.[A179719,L11332] A frequent adverse effect of ACE inhibitor therapy is also hypotension. ACE inhibitor treatment is also associated with functional impairment of the kidneys as a common adverse effect.[A179722] This drug interaction is especially hazardous in those with impaired renal function.[L11332] Though research studies have proposed that combining SGLT-2 inhibitor treatment with ACE inhibitor treatment may provide renal protection in patients with end-stage renal disease [A179713], this drug interaction remains a possibility.[L11332]",1,1,"Regularly monitor blood pressure, electrolytes, fluid balance, and potassium levels in patients taking this combination.[L11332] Adjust the dose of either drug, or discontinue either drug as necessary."
DB00440,Trimethoprim,DB00178,Ramipril,Trimethoprim may increase the hyperkalemic activities of Ramipril.,"Trimethoprim, often present in combination products, and ACE inhibitors may both cause hyperkalemia; therefore, co-administration of these agents presents an increased risk of hyperkalemia.[A38311, A33886, A33888, A179818]",0,1,"Avoid the use of trimethoprim-containing regimens with ACE inhibitors if clinically possible. If concomitant therapy is necessary, closely monitor the patient's serum potassium levels. If serum potassium levels elevate, discontinue trimethoprim to help lower serum potassium levels back to normal."
DB00440,Trimethoprim,DB00722,Lisinopril,Trimethoprim may increase the hyperkalemic activities of Lisinopril.,"Trimethoprim, often present in combination products, and ACE inhibitors may both cause hyperkalemia; therefore, co-administration of these agents presents an increased risk of hyperkalemia.[A38311, A33886, A33888, A179818]",0,1,"Avoid the use of trimethoprim-containing regimens with ACE inhibitors if clinically possible. If concomitant therapy is necessary, closely monitor the patient's serum potassium levels. If serum potassium levels elevate, discontinue trimethoprim to help lower serum potassium levels back to normal."
DB01104,Sertraline,DB00215,Citalopram,The serum concentration of Citalopram can be increased when it is combined with Sertraline.,"Citalopram is a substrate of CYP2C19, and inhibiting this enzyme may lead to decreased metabolism of citalopram and increased toxicity.",1,1,"According to the FDA label, limit citalopram dose to a maximum of 20 mg/day if used with a CYP2C19 inhibitor. Patients using this combination should be monitored closely for evidence of citalopram toxicity (e.g., serotonin syndrome, QT prolongation, etc.) [F1531]."
DB01104,Sertraline,DB00758,Clopidogrel,The serum concentration of the active metabolites of Clopidogrel can be reduced when Clopidogrel is used in combination with Sertraline resulting in a loss in efficacy.,"The effectiveness of clopidogrel depends on the activation of its active metabolite by the cytochrome P450 (CYP) system, mainly CYP2C19. If this enzyme is inhibited, the efficacy of clopidogrel may be decreased.",1,1,"Due to a risk for impaired clopidogrel effectiveness with such a combination, carefully consider the need for a moderate CYP2C19 inhibitor in patients receiving clopidogrel. Monitor patients closely for evidence of a diminished response to clopidogrel and just drug dosages as necessary."
DB00295,Morphine,DB00318,Codeine,The risk or severity of adverse effects can be increased when Morphine is combined with Codeine.,"Opioids affect affect multiple organ systems, sometimes leading to serious and life-threatening respiratory or cardiac depression.[L3376,L6958] In addition, neurotoxicity may occur, manifested by symptoms of drowsiness and confusion.[A189928] This combination may also increase the risk of additive opioid adverse effects such as nausea, constipation, and vomiting.[A34380,L3376] Recent studies are investigating possible safer combinations of opioids[A179932], however, the risk of a serious drug interaction remains when multiple opioids are administered.",1,1,"Seek alternative therapy whenever possible, and reserve the use of opioids for cases that are indicated on prescribing information. Consider replacing one opioid in this combination to a non-opioid analgesic. If this combination is administered, carefully titrate the opioid dose according to information in the prescribing label and national guidelines.[L3376,L11344,L11356] Do not exceed the milligram morphine equivalent (MME), which is described in opioid administration guidelines.[L11356] Consolidate multiple opioid therapies into one therapy, when possible.[L11344] Use clinical judgement if combination opioid treatment is required; some combinations may be contraindicated. Closely monitor the patient for opioid adverse effects, including nausea, drowsiness, constipation, confusion, respiratory depression, or bradycardia. Provide supportive treatment and adjust the dose or discontinue either drug, as required."
DB00472,Fluoxetine,DB00758,Clopidogrel,The serum concentration of the active metabolites of Clopidogrel can be reduced when Clopidogrel is used in combination with Fluoxetine resulting in a loss in efficacy.,"The effectiveness of clopidogrel depends on the activation of an active metabolite by the cytochrome P450 (CYP) system, mainly CYP2C19. Inhibiting this enzyme may decrease the efficacy of clopidogrel.",1,2,"Due to a risk for impaired clopidogrel effectiveness with such a combination, carefully consider the need for a strong CYP2C19 inhibitor in patients receiving clopidogrel. Monitor patients closely for evidence of a diminished response to clopidogrel."
DB00321,Amitriptyline,DB01409,Tiotropium,The risk or severity of adverse effects can be increased when Amitriptyline is combined with Tiotropium.,Administration of Tiotropium with other antimuscarinic agents may produce an additive increase in anticholinergic adverse effects.,2,1,Avoid coadministration of Tiotropium with other antimuscarinic agents.
DB00334,Olanzapine,DB01409,Tiotropium,The risk or severity of adverse effects can be increased when Olanzapine is combined with Tiotropium.,Administration of Tiotropium with other antimuscarinic agents may produce an additive increase in anticholinergic adverse effects.,2,1,Avoid coadministration of Tiotropium with other antimuscarinic agents.
DB01175,Escitalopram,DB01409,Tiotropium,The risk or severity of adverse effects can be increased when Escitalopram is combined with Tiotropium.,Administration of Tiotropium with other antimuscarinic agents may produce an additive increase in anticholinergic adverse effects.,2,1,Avoid coadministration of Tiotropium with other antimuscarinic agents.
DB01224,Quetiapine,DB01409,Tiotropium,The risk or severity of adverse effects can be increased when Quetiapine is combined with Tiotropium.,Administration of Tiotropium with other antimuscarinic agents may produce an additive increase in anticholinergic adverse effects.,2,1,Avoid coadministration of Tiotropium with other antimuscarinic agents.
DB00852,Pseudoephedrine,DB01001,Albuterol,The risk or severity of hypertension can be increased when Pseudoephedrine is combined with Salbutamol.,Concurrent use of drugs known to increase blood pressure is expected to result in an increased risk for supine hypertension. Closely monitor the patient for elevated blood pressure (including in supine and head-elevated positions) and for any evidence of toxicity.,0,2,"Closely monitor the patient for elevated blood pressure (including in supine and head-elevated positions) and for any evidence of toxicity. Follow other recommendations to manage this risk, such as having patients elevate the heads of their bed while sleeping or resting."
DB00788,Naproxen,DB01001,Albuterol,The risk or severity of hypertension can be increased when Naproxen is combined with Salbutamol.,Concurrent use of drugs known to increase blood pressure is expected to result in an increased risk for supine hypertension. Closely monitor the patient for elevated blood pressure (including in supine and head-elevated positions) and for any evidence of toxicity.,0,2,"Closely monitor the patient for elevated blood pressure (including in supine and head-elevated positions) and for any evidence of toxicity. Follow other recommendations to manage this risk, such as having patients elevate the heads of their bed while sleeping or resting."
DB00945,Acetylsalicylic acid,DB01001,Albuterol,The risk or severity of hypertension can be increased when Acetylsalicylic acid is combined with Salbutamol.,Concurrent use of drugs known to increase blood pressure is expected to result in an increased risk for supine hypertension. Closely monitor the patient for elevated blood pressure (including in supine and head-elevated positions) and for any evidence of toxicity.,0,2,"Closely monitor the patient for elevated blood pressure (including in supine and head-elevated positions) and for any evidence of toxicity. Follow other recommendations to manage this risk, such as having patients elevate the heads of their bed while sleeping or resting."
DB01001,Albuterol,DB01050,Ibuprofen,The risk or severity of hypertension can be increased when Salbutamol is combined with Ibuprofen.,Concurrent use of drugs known to increase blood pressure is expected to result in an increased risk for supine hypertension. Closely monitor the patient for elevated blood pressure (including in supine and head-elevated positions) and for any evidence of toxicity.,0,2,"Closely monitor the patient for elevated blood pressure (including in supine and head-elevated positions) and for any evidence of toxicity. Follow other recommendations to manage this risk, such as having patients elevate the heads of their bed while sleeping or resting."
DB00780,Phenelzine,DB01001,Albuterol,The risk or severity of hypertension can be increased when Phenelzine is combined with Salbutamol.,Concurrent use of drugs known to increase blood pressure is expected to result in an increased risk for supine hypertension. Closely monitor the patient for elevated blood pressure (including in supine and head-elevated positions) and for any evidence of toxicity.,0,2,"Closely monitor the patient for elevated blood pressure (including in supine and head-elevated positions) and for any evidence of toxicity. Follow other recommendations to manage this risk, such as having patients elevate the heads of their bed while sleeping or resting."
DB06724,Calcium carbonate,DB01167,Itraconazole,Calcium carbonate can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.,"The absorption of itraconazole is pH-dependent and may be impaired when gastric pH is increased after antacid administration.[A19567,L9620] In a clinical study, when itraconzaole capsules were administered with omeprazole (a proton pump inhibitor that reduces gastric acid), the bioavailability of itraconazole was markedly reduced.[L9620] A decrease in systemic exposure to itraconazole may result in reduced clinical efficacy in treating fungal infections.",1,1,"Concurrent administration of an acidic solution (eg, a cola drink) can counteract the gastric acid lowering effect of a proton pump inhibitor, improving the absorption of itraconazole. [A35010] When itraconazole is administered to patients receiving gastric acid lowering drugs, administer them with a non-diet cola product to enhance absorption.[A35011] Antacids should be given either 2 hours prior to or 2 hours following oral tablet formulations of itraconazole. [L9725] There is no specific guidance for liquid formulations of itraconazole, however, caution is advised nonetheless.[L9728]"
DB00501,Cimetidine,DB01167,Itraconazole,Cimetidine can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.,"The absorption of itraconazole is pH-dependent and may be impaired when gastric pH is increased after antacid administration.[A19567,L9620] In a clinical study, when itraconzaole capsules were administered with omeprazole (a proton pump inhibitor that reduces gastric acid), the bioavailability of itraconazole was markedly reduced.[L9620] A decrease in systemic exposure to itraconazole may result in reduced clinical efficacy in treating fungal infections.",1,1,"Concurrent administration of an acidic solution (eg, a cola drink) can counteract the gastric acid lowering effect of a proton pump inhibitor, improving the absorption of itraconazole. [A35010] When itraconazole is administered to patients receiving gastric acid lowering drugs, administer them with a non-diet cola product to enhance absorption.[A35011] Antacids should be given either 2 hours prior to or 2 hours following oral tablet formulations of itraconazole. [L9725] There is no specific guidance for liquid formulations of itraconazole, however, caution is advised nonetheless.[L9728]"
